gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz,timer
-0.153125,-0.039375,-0.16625,4.392,0.0,-5.368,0.291,0.09,0.222,23330
0.083125,-0.0175,-0.035,-2.44,3.416,2.44,0.3,0.096,0.225,23523
0.301875,0.02625,0.074375,0.976,-0.488,2.928,0.2955,0.096,0.219,23716
0.0,0.021875,0.083125,-0.488,0.488,-2.44,0.3,0.087,0.228,23909
-0.06125,0.02625,0.0525,-1.952,-6.344,1.464,0.3,0.0825,0.213,24102
-0.056875,0.083125,-0.109375,1.952,3.904,-4.392,0.303,0.081,0.222,24295
-0.048125,-0.00875,-0.06125,-2.44,3.416,3.416,0.303,0.096,0.2175,24488
0.18375,0.004375,0.07875,2.44,3.416,1.952,0.3,0.0885,0.219,24682
-0.0525,-0.07875,0.07875,-1.464,-0.488,-2.928,0.3015,0.0885,0.225,24875
0.048125,-0.0525,-0.013125,0.0,-4.392,2.44,0.294,0.0945,0.228,25068
-0.175,-0.02625,-0.105,2.928,0.0,-4.392,0.3,0.0945,0.2205,25261
0.0875,-0.02625,-0.14,-3.416,2.928,4.392,0.2955,0.099,0.2235,25454
0.1925,-0.00875,0.065625,2.928,2.928,0.976,0.297,0.0885,0.2145,25647
